L_set_count,threshold_value,B_vector,percent_positive,percent_negative
2862,1.5,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",50.98,49.02
2425,1.4,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",51.51,48.49
1975,1.3,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",51.80,48.20
1518,1.2,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",51.58,48.42
1371,1.5,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",50.04,49.96
1227,1.5,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",50.29,49.71
1113,1.1,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",51.66,48.34
1052,1.5,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",51.05,48.95
1014,1.4,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",50.49,49.51
865,1.4,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",51.79,48.21
820,1.5,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",49.27,50.73
781,1.5,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",50.83,49.17
767,1.0,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",52.41,47.59
727,1.4,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",51.44,48.56
705,1.3,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",49.65,50.35
645,1.5,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",49.30,50.70
570,1.3,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",51.58,48.42
551,1.4,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",49.36,50.64
527,1.4,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",51.99,48.01
496,1.3,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",50.00,50.00
487,0.9,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",53.80,46.20
457,1.2,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",50.11,49.89
428,1.4,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",50.23,49.77
425,1.5,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",44.24,55.76
390,1.5,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",50.77,49.23
370,1.2,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",51.08,48.92
369,1.3,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",53.12,46.88
357,1.3,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",49.86,50.14
323,1.2,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",49.85,50.15
284,1.4,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",45.77,54.23
280,1.1,"[-1.1523272049025688,0.5411143749381351,0.1461269041420521,-0.06325676014369375,-0.6721807878932626]",53.21,46.79
279,1.3,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",49.46,50.54
257,0.8,"[0.6673177879279355,-0.399743965085662,0.1166337339292971,-0.4774067929209176,-0.38544785593128283]",54.47,45.53
247,1.4,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",52.23,47.77
244,1.5,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",50.82,49.18
228,1.2,"[-0.6100725889183973,0.3099347336126099,-0.03537078959708406,1.0625206011449584,-1.0965857164970356]",51.75,48.25
221,1.5,"[1.6085788331083064,-0.0518004411331483,-0.6413941226817417,-0.8585278694831779,0.6172863137371993]",50.23,49.77
219,1.2,"[-0.21708483335866546,0.7180576708645363,-0.9795620251168167,-1.0873967939933746,-0.09342447900049367]",48.40,51.60
217,1.1,"[0.006111046124327224,-0.7356228123171396,1.1044112558027792,0.7268361718842482,-0.03893939127438717]",53.00,47.00
189,1.1,"[0.5870384768320802,0.3781491747475263,-0.3818649028373775,-1.3286018077906965,-0.05380390605790675]",48.15,51.85
179,1.3,"[-0.7746259007198519,0.26586799522166027,0.506075608104315,1.610478445311827,0.04294655539067005]",47.49,52.51
167,1.3,"[-1.446149992217236,-0.03504302903324463,0.22694339606652525,-0.5959702922565486,-0.9831085711612602]",53.89,46.11
162,1.2,"[0.7511969107471126,-0.2664300919353346,-1.118757618320223,-0.6672747389946649,0.8040502498464499]",48.77,51.23
161,1.4,"[-1.05090935196549,0.4803577710646296,-0.3823052318098905,-0.7391826643338586,-1.3969735585893015]",53.42,46.58
